Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2006,Arizona Diamondbacks,1,5645,773,1506,331,38,160,743,504,965,76,30,0.267,0.331,0.424,0.755,76,86,4.48,162,34,54,1459.2,1503,788,727,168,536,1115,0.267,1.4,1458,13137,6259,4379,1776,104,172,90,45,0.667,11,53,0.983,0.685,1
2006,Atlanta Braves,1,5583,849,1510,312,26,222,818,526,1169,52,35,0.27,0.337,0.455,0.791,79,83,4.6,162,38,67,1441.1,1529,805,736,183,572,1049,0.273,1.46,1458,12972,6031,4324,1608,99,146,101,30,0.771,8,39,0.984,0.686,-1
2006,Baltimore Orioles,0,5610,768,1556,288,20,164,727,474,878,121,32,0.277,0.339,0.424,0.763,70,92,5.35,162,35,56,1419,1579,899,843,216,613,1016,0.284,1.54,1458,12771,5966,4257,1607,102,156,80,50,0.615,15,59,0.983,0.679,-1
2006,Boston Red Sox,0,5619,820,1510,327,16,192,777,672,1056,51,23,0.269,0.351,0.435,0.786,86,76,4.83,162,46,69,1441.1,1570,825,773,181,509,1070,0.279,1.44,1458,12972,6052,4324,1662,66,174,108,23,0.824,24,52,0.989,0.679,1
2006,Chicago Cubs,1,5587,716,1496,271,46,166,677,395,928,121,49,0.268,0.319,0.422,0.741,66,96,4.74,162,29,46,1439,1396,834,758,210,687,1250,0.255,1.45,1458,12951,5903,4317,1480,106,122,118,39,0.752,12,68,0.982,0.699,1
2006,Chicago White Sox,0,5657,868,1586,291,20,236,839,502,1056,93,48,0.28,0.342,0.464,0.806,90,72,4.61,162,46,63,1449,1534,794,743,200,433,1012,0.271,1.36,1458,13041,6092,4347,1655,90,145,116,34,0.773,13,51,0.985,0.694,-1
2006,Cincinnati Reds,1,5515,749,1419,291,12,217,718,614,1192,124,33,0.257,0.336,0.432,0.768,80,82,4.51,162,36,60,1445.2,1576,801,725,213,464,1053,0.278,1.41,1458,13011,6064,4337,1599,128,139,50,35,0.588,9,40,0.979,0.682,-1
2006,Cleveland Indians,0,5619,870,1576,351,27,196,839,556,1204,55,23,0.28,0.349,0.457,0.806,78,84,4.41,162,24,47,1423.1,1583,782,698,166,429,948,0.282,1.41,1458,12810,6057,4270,1669,118,165,128,34,0.79,7,46,0.981,0.675,1
2006,Colorado Rockies,1,5562,813,1504,325,54,157,761,561,1108,85,50,0.27,0.341,0.433,0.774,76,86,4.66,162,34,58,1447.1,1549,812,749,155,553,952,0.277,1.45,1458,13026,6249,4342,1816,91,190,99,42,0.702,8,43,0.985,0.683,1
2006,Detroit Tigers,0,5642,822,1548,294,40,203,785,430,1133,60,40,0.274,0.329,0.449,0.777,95,67,3.84,162,46,62,1448,1420,675,618,160,489,1003,0.257,1.32,1458,13032,6230,4344,1780,106,162,49,35,0.583,6,44,0.983,0.701,-1
