Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2011,Arizona Diamondbacks,1,5421,731,1357,293,37,172,702,531,1249,133,55,0.25,0.322,0.413,0.736,94,68,3.8,162,58,71,1443.1,1414,662,609,159,442,1058,0.257,1.29,1458,12990,6024,4330,1604,90,131,61,43,0.587,9,39,0.985,0.703,-1
2011,Atlanta Braves,1,5528,641,1345,244,16,173,606,504,1260,77,44,0.243,0.308,0.387,0.695,89,73,3.48,162,52,77,1479.2,1332,605,572,125,521,1332,0.24,1.25,1458,13317,6197,4439,1675,83,131,128,41,0.757,9,61,0.987,0.699,-1
2011,Baltimore Orioles,0,5585,708,1434,273,13,191,684,452,1120,81,25,0.257,0.316,0.413,0.729,69,93,4.89,162,32,51,1446.2,1568,860,786,210,535,1044,0.277,1.45,1458,13020,6105,4340,1655,110,159,83,42,0.664,4,32,0.982,0.683,1
2011,Boston Red Sox,0,5710,875,1600,352,35,203,842,578,1108,102,42,0.28,0.349,0.461,0.81,90,72,4.2,162,36,52,1457.1,1366,737,680,156,540,1213,0.247,1.31,1458,13116,5990,4372,1526,92,120,156,50,0.757,32,58,0.985,0.703,-1
2011,Chicago Cubs,1,5549,654,1423,285,36,148,610,425,1202,69,23,0.256,0.314,0.401,0.715,71,91,4.33,162,40,64,1434.1,1439,756,690,162,580,1224,0.262,1.41,1458,12909,5996,4303,1559,134,128,112,46,0.709,7,51,0.978,0.68,-1
2011,Chicago White Sox,0,5502,654,1387,252,16,154,625,475,989,81,53,0.252,0.319,0.388,0.706,79,83,4.1,162,42,62,1460,1463,706,665,147,439,1220,0.261,1.3,1458,13140,6126,4380,1667,79,129,135,37,0.785,10,55,0.987,0.687,-1
2011,Cincinnati Reds,1,5612,735,1438,264,19,183,697,535,1250,97,50,0.256,0.326,0.408,0.734,79,83,4.16,162,39,61,1467.2,1414,720,678,185,539,1112,0.255,1.33,1458,13209,6253,4403,1759,91,146,81,44,0.648,5,51,0.985,0.706,1
2011,Cleveland Indians,0,5509,704,1380,290,26,154,671,494,1269,89,42,0.25,0.317,0.396,0.714,80,82,4.23,162,38,54,1453.1,1482,760,683,153,463,1024,0.263,1.34,1458,13080,6159,4360,1689,110,130,104,48,0.684,9,42,0.982,0.693,-1
2011,Colorado Rockies,1,5544,735,1429,274,40,163,697,555,1201,118,42,0.258,0.329,0.41,0.739,73,89,4.43,162,41,64,1447.2,1471,774,713,176,522,1118,0.265,1.38,1458,13029,6199,4343,1758,98,156,99,49,0.669,17,65,0.984,0.691,-1
2011,Detroit Tigers,0,5563,787,1540,297,34,169,750,521,1143,49,20,0.277,0.34,0.434,0.773,95,67,4.04,162,52,62,1440,1406,711,647,149,492,1115,0.257,1.32,1458,12960,6062,4320,1639,103,148,119,49,0.708,8,69,0.983,0.695,1
2011,Florida Marlins,1,5508,625,1358,274,30,149,596,542,1244,95,41,0.247,0.318,0.388,0.706,72,90,3.95,162,40,59,1459.2,1403,702,640,149,500,1218,0.253,1.3,1458,13137,6025,4379,1553,93,126,103,24,0.811,10,43,0.985,0.693,-1
2011,Houston Astros,1,5598,615,1442,309,28,95,579,401,1164,118,33,0.258,0.311,0.374,0.684,56,106,4.51,162,25,50,1435,1477,796,719,188,560,1191,0.266,1.42,1458,12915,6053,4305,1632,116,140,131,31,0.809,8,39,0.981,0.682,-1
2011,Kansas City Royals,0,5672,730,1560,325,41,129,705,442,1006,153,58,0.275,0.329,0.415,0.744,71,91,4.44,162,37,59,1451.1,1487,762,716,163,557,1080,0.267,1.41,1458,13062,6149,4354,1700,95,149,115,49,0.701,8,69,0.985,0.689,-1
2011,Los Angeles Angels,0,5513,667,1394,289,34,155,629,442,1086,135,52,0.253,0.313,0.402,0.714,86,76,3.57,162,39,64,1465,1388,633,581,142,476,1058,0.251,1.27,1458,13185,6211,4395,1723,93,157,126,40,0.759,7,55,0.985,0.706,-1
2011,Milwaukee Brewers,1,5447,721,1422,276,31,185,693,481,1083,94,31,0.261,0.325,0.425,0.75,96,66,3.63,162,47,66,1441.2,1348,638,582,147,440,1257,0.246,1.24,1458,12975,6023,4325,1587,111,130,102,37,0.734,4,70,0.982,0.694,-1
